2018-10-22_09:50:50,6342.00,25.06
2018-10-22_09:50:57,6365.00,25.06
2018-10-22_09:51:04,6377.00,25.06
2018-10-22_09:51:11,6447.00,25.06
2018-10-22_09:51:19,6677.00,25.06
2018-10-22_09:51:26,6755.00,25.00
2018-10-22_09:51:33,6742.00,25.00
2018-10-22_09:51:41,6721.00,25.00
2018-10-22_09:51:48,6651.00,25.06
2018-10-22_09:51:55,6639.00,25.00
2018-10-22_09:52:02,6155.00,25.00
2018-10-22_09:52:10,6676.00,25.00
2018-10-22_09:52:17,6632.00,25.00
2018-10-22_09:52:24,6690.00,25.00
2018-10-22_09:52:31,6691.00,25.00
2018-10-22_09:52:39,6634.00,25.00
2018-10-22_09:52:46,6477.00,25.00
2018-10-22_09:52:53,6638.00,25.00
2018-10-22_09:53:01,6656.00,25.00
2018-10-22_09:53:08,6645.00,25.00
2018-10-22_09:53:15,6696.00,25.00
2018-10-22_09:53:22,6629.00,25.00
2018-10-22_09:53:30,6695.00,24.94
2018-10-22_09:53:37,6678.00,24.94
2018-10-22_09:53:44,6606.00,24.94
2018-10-22_09:53:52,6681.00,24.94
2018-10-22_09:53:59,6667.00,24.94
2018-10-22_09:54:29,6710.00,24.94
2018-10-22_09:54:36,6688.00,24.94
2018-10-22_09:54:43,6669.00,24.94
2018-10-22_09:54:51,6671.00,24.94
2018-10-22_09:54:58,6678.00,24.94
2018-10-22_09:55:05,6666.00,24.94
2018-10-22_09:55:13,6662.00,24.94
2018-10-22_09:55:20,6617.00,24.94
2018-10-22_09:55:27,6678.00,24.94
2018-10-22_09:55:34,6657.00,24.94
2018-10-22_09:55:42,6668.00,24.94
2018-10-22_09:55:49,6639.00,24.94
2018-10-22_09:55:56,6695.00,24.94
2018-10-22_09:56:03,6656.00,25.00
2018-10-22_09:56:11,6660.00,25.00
2018-10-22_09:56:18,6622.00,25.00
2018-10-22_09:56:25,6657.00,25.00
2018-10-22_09:56:33,6657.00,25.00
2018-10-22_09:56:40,6382.00,25.00
2018-10-22_09:56:47,6662.00,25.00
2018-10-22_09:56:54,6686.00,25.00
2018-10-22_09:57:02,6652.00,25.00
2018-10-22_09:57:09,6682.00,25.00
2018-10-22_09:57:16,6649.00,25.00
2018-10-22_09:57:23,6607.00,25.00
2018-10-22_09:57:31,6646.00,25.00
2018-10-22_09:57:38,6611.00,25.00
2018-10-22_09:57:45,6668.00,25.00
2018-10-22_09:57:53,6660.00,25.00
2018-10-22_09:58:00,6648.00,25.00
2018-10-22_09:58:07,6651.00,25.00
2018-10-22_09:58:14,6635.00,25.00
2018-10-22_09:58:22,6681.00,25.00
2018-10-22_09:58:29,6623.00,25.00
2018-10-22_09:58:36,6663.00,25.00
2018-10-22_09:58:44,6602.00,25.00
2018-10-22_09:58:51,6653.00,25.00
2018-10-22_09:58:58,6649.00,25.00
2018-10-22_09:59:05,6627.00,25.00
2018-10-22_09:59:13,6621.00,25.00
2018-10-22_09:59:20,6655.00,25.00
2018-10-22_09:59:27,6627.00,25.00
2018-10-22_09:59:34,6604.00,25.00
2018-10-22_09:59:42,6639.00,25.00
2018-10-22_09:59:49,6607.00,25.00
2018-10-22_09:59:56,6641.00,25.00
2018-10-22_10:00:04,6626.00,25.00
2018-10-22_10:00:11,6626.00,25.00
2018-10-22_10:00:18,6654.00,25.00
2018-10-22_10:00:25,6614.00,25.00
2018-10-22_10:00:33,6639.00,25.00
