2018-09-20_15:14:57,cell_1,1215.00,5763.00,4548.00
2018-09-20_15:18:43,cell_1,1049.00,6535.00,5486.00
2018-09-20_15:22:29,cell_1,998.00,5757.00,4759.00
2018-09-20_15:26:15,cell_1,747.00,5218.00,4471.00
2018-09-20_15:30:02,cell_1,1597.00,5148.00,3551.00
2018-09-20_15:33:48,cell_1,1068.00,4393.00,3325.00
2018-09-20_15:37:34,cell_1,802.00,3749.00,2947.00
2018-09-20_15:41:20,cell_1,1037.00,3534.00,2497.00
2018-09-20_15:45:06,cell_1,1058.00,4226.00,3168.00
2018-09-20_15:48:52,cell_1,1169.00,3595.00,2426.00
2018-09-20_15:52:39,cell_1,975.00,3388.00,2413.00
2018-09-20_15:56:25,cell_1,1172.00,3226.00,2054.00
2018-09-20_16:00:11,cell_1,1014.00,3057.00,2043.00
2018-09-20_16:03:57,cell_1,1002.00,3194.00,2192.00
2018-09-20_16:07:43,cell_1,979.00,3114.00,2135.00
2018-09-20_16:11:29,cell_1,939.00,3170.00,2231.00
2018-09-20_16:15:15,cell_1,1024.00,3455.00,2431.00
2018-09-20_16:19:02,cell_1,899.00,3117.00,2218.00
2018-09-20_16:22:48,cell_1,1178.00,3136.00,1958.00
2018-09-20_16:26:34,cell_1,922.00,2508.00,1586.00
2018-09-20_16:30:20,cell_1,986.00,3350.00,2364.00
2018-09-20_16:34:06,cell_1,898.00,2530.00,1632.00
2018-09-20_16:37:52,cell_1,1790.00,2400.00,610.00
2018-09-20_16:41:39,cell_1,769.00,3570.00,2801.00
2018-09-20_16:45:25,cell_1,972.00,1927.00,955.00
2018-09-20_16:49:11,cell_1,867.00,2415.00,1548.00
2018-09-20_16:52:57,cell_1,750.00,2377.00,1627.00
2018-09-20_16:56:43,cell_1,805.00,3886.00,3081.00
2018-09-20_17:00:29,cell_1,700.00,3392.00,2692.00
2018-09-20_17:04:15,cell_1,787.00,3737.00,2950.00
2018-09-20_17:08:02,cell_1,735.00,6067.00,5332.00
2018-09-20_17:11:48,cell_1,648.00,5777.00,5129.00
2018-09-20_17:15:34,cell_1,782.00,5379.00,4597.00
2018-09-20_17:19:20,cell_1,665.00,6151.00,5486.00
2018-09-20_17:23:06,cell_1,724.00,64409.00,63685.00
